href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,lot_size,cooling,heating,has_pool,parking_size,price
https://www.redfin.com/TX/Dallas/3135-Royal-Gable-Dr-75229/home/31141573,3135 Royal Gable Dr,Dallas, TX 75229,Dallas County,https://ssl.cdn-redfin.com/photo/90/bigphoto/498/14659498_1.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/498/genMid.14659498_9_1.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/498/genMid.14659498_27_1.jpg,3,2,1229,1983,None,68,39,63,None,None,None,None,None,$274000
https://www.redfin.com/MN/Avon/217-Woolgrass-Way-56310/home/176353997,217 Woolgrass Way,Avon, MN 56310,Stearns County,https://ssl.cdn-redfin.com/photo/114/bigphoto/968/6092968_1.jpg https://ssl.cdn-redfin.com/photo/114/mbpaddedwide/968/genMid.6092968_3_1.jpg https://ssl.cdn-redfin.com/photo/114/mbpaddedwide/968/genMid.6092968_9_1.jpg,—,—,0.28,—,None,0,None,19,None,None,None,None,None,$55000
https://www.redfin.com/PA/Morrisville/42-E-Hendrickson-Ave-19067/home/38900272,42 E Hendrickson Ave,Morrisville, PA 19067,Bucks County,https://ssl.cdn-redfin.com/photo/235/bigphoto/088/PABU2010088_1.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/088/genMid.PABU2010088_6_3.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/088/genMid.PABU2010088_18_3.jpg,3,1,1348,1913,None,70,None,46,None,None,None,None,None,$235000
https://www.redfin.com/VA/Unknown/6-5ac-Rains-Ln-23021/home/176673239,6.5ac Rains Ln,Bohannon, VA 23021,Mathews County,https://ssl.cdn-redfin.com/photo/110/bigphoto/613/10405613_0.jpg https://ssl.cdn-redfin.com/photo/110/mbpaddedwide/613/genMid.10405613_2_0.jpg https://ssl.cdn-redfin.com/photo/110/mbpaddedwide/613/genMid.10405613_8_0.jpg,—,—,6.50,—,None,0,None,39,None,None,None,None,None,$189000
https://www.redfin.com/NJ/Paterson/28-Emerson-Ave-07502/home/37647634,28-30 Emerson Ave,Paterson, NJ 07502,Passaic County,https://ssl.cdn-redfin.com/photo/120/bigphoto/841/21039841_0.jpg https://ssl.cdn-redfin.com/photo/120/mbpaddedwide/841/genMid.21039841_10_0.jpg https://ssl.cdn-redfin.com/photo/120/mbpaddedwide/841/genMid.21039841_31_0.jpg,3,1.5,—,1950,None,66,34,53,None,None,None,None,None,$409000
https://www.redfin.com/VA/Richmond/4114-Bremner-Blvd-23228/home/59645102,4114 Bremner Blvd,Henrico, VA 23228,Henrico County,https://ssl.cdn-redfin.com/photo/131/bigphoto/188/2134188_0.jpg https://ssl.cdn-redfin.com/photo/131/mbpaddedwide/188/genMid.2134188_6_0.jpg https://ssl.cdn-redfin.com/photo/131/mbpaddedwide/188/genMid.2134188_20_0.jpg,3,1,1434,1941,0.26,45,19,39,0.26,Heat Pump,Electric| Heat Pump,None,None,$229000
https://www.redfin.com/MS/Jackson/1341-Deerfield-Ln-39211/home/117417569,1341 Deerfield Ln,Jackson, MS 39211,Hinds County,https://ssl.cdn-redfin.com/photo/294/bigphoto/156/4002156_2.jpg https://ssl.cdn-redfin.com/photo/294/mbpaddedwide/156/genMid.4002156_5_1.jpg https://ssl.cdn-redfin.com/photo/294/mbpaddedwide/156/genMid.4002156_17_1.jpg,3,2,1356,1961,None,11,15,33,None,Ceiling Fan(s)| Central Air,Central| Electric,None,None,$139900
https://www.redfin.com/OH/Baltic/1390-Co-Rd-600-43804/home/70189392,1390 County Road 600,Baltic, OH 43804,Holmes County,https://ssl.cdn-redfin.com/photo/159/bigphoto/744/4324744_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/744/genMid.4324744_3_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/744/genMid.4324744_9_0.jpg,5,1.5,2266,1940,0.7,5,None,42,0.7,None,Gas| Radiant| Wood,None,None,$175000
https://www.redfin.com/OK/Claremore/2001-N-Chambers-Ave-74017/home/78613336,2001 N Chambers Ave,Claremore, OK 74017,Rogers County,https://ssl.cdn-redfin.com/photo/164/bigphoto/825/2138825_1.jpg https://ssl.cdn-redfin.com/photo/164/mbpaddedwide/825/genMid.2138825_8_1.jpg https://ssl.cdn-redfin.com/photo/164/mbpaddedwide/825/genMid.2138825_24_1.jpg,3,2,1317,2003,0.18,13,None,39,0.18,Central Air,Central| Gas,None,None,$159900
https://www.redfin.com/AZ/Tucson/7416-N-Shirley-Ln-85741/home/50590897,7416 N Shirley Ln,Tucson, AZ 85741,Pima County,https://ssl.cdn-redfin.com/photo/115/bigphoto/886/22125886_0.jpg https://ssl.cdn-redfin.com/photo/115/mbpaddedwide/886/genMid.22125886_4_0.jpg https://ssl.cdn-redfin.com/photo/115/mbpaddedwide/886/genMid.22125886_12_0.jpg,4,3,1505,1980,None,52,32,46,None,None,None,None,None,$334900
